ID,Rural,Income,Race,Expenditure,Kids
1000681,0,70895,1,12661.8334,1
1000682,0,3080,1,3256,0
1000683,0,399084,1,16846.8113,0
1000684,0,48692,1,13757.1651,0
1000685,0,78000,1,7243.1667,2
1000686,0,3510,2,3144.6667,0
1000687,0,123421,1,4885.3334,0
1000688,0,198000,1,15373,0
1000689,0,165000,1,25445.1667,0
1000690,0,17880,1,3065.9,1
1000691,0,74000,1,7085.7667,0
1000692,0,159000,1,19030.3334,1
1000693,0,31000,2,4809.1333,0
1000694,0,2136,2,450.9999,0
1000695,0,63001,1,7915.6667,0
1000696,0,92200,1,5719.6666,2
1000697,0,165326,1,18416.4667,0
1000698,0,107000,1,12672.3334,0
1000699,0,2800,1,4381.1667,1
1000700,0,43000,1,8964.3333,0
1000701,0,5507,1,6753,0
1000702,0,55000,1,19119.6667,0
1000703,0,110000,1,10189.2666,0
1000704,0,2000,1,2015.9999,0
1000705,0,36524,2,8938.6667,0
1000706,0,59612,1,7278.7666,0
1000707,0,55000,1,15393.6667,0
1000708,0,19075,1,3551.3333,0
1000709,0,24392,1,2571.3333,0
1000710,0,107060,1,11052.1333,0
1000711,1,87000,1,30924.6668,0
1000712,0,29139,1,3099.6667,0
1000713,0,28074,1,5783.3667,0
1000714,0,31440,1,4261.6667,0
1000715,0,23266,2,2579.5,0
1000716,0,91000,1,11024.6667,0
1000717,0,37626,1,2522.3333,0
1000718,0,50000,6,5275.3333,0
1000719,0,117500,1,8560.4999,0
1000720,0,38000,2,5621.6666,0
1000721,0,146000,1,45635.5,0
1000722,1,3000,1,3467.3334,0
1000723,0,62000,2,6633.8333,0
1000724,0,22588,1,3323.3333,0
1000725,0,22028,1,7011.0667,0
1000726,0,160000,1,15534.1889,0
1000727,0,11474,1,4426,0
1000728,0,960,1,1939.3333,0
1000729,0,150000,1,14407.8,0
1000730,0,22358,1,4748.3333,0
1000731,0,54352,1,20854.8318,2
1000732,0,83000,1,13146.1668,0
1000733,0,23980,1,4018.1667,3
1000734,0,26226,1,3390.3334,0
1000735,0,186200,1,21280.1666,0
1000736,0,21710,1,3816.6667,0
1000737,0,147000,1,9596.8333,1
1000738,0,165000,1,16849.8555,2
1000739,0,34000,1,4169.8333,0
1000740,0,23600,1,8427.1666,2
1000741,0,108600,1,36164.2,0
1000742,0,22226,1,8737.6667,0
1000743,0,32010,1,6015.6667,0
1000744,0,63000,1,7984.1666,1
1000745,0,90871,1,10660.9999,3
1000746,1,62000,1,10237.9999,0
1000747,0,41884,1,5873.3333,1
1000748,0,133000,1,9560.1668,1
1000749,0,82400,2,9912.6666,1
1000750,0,46000,1,5098.1667,0
1000751,0,137800,1,11646.6667,3
1000752,0,132000,1,18013.4999,0
1000753,1,49149,1,12256.8333,0
1000754,0,43000,1,5664.0667,0
